program,worker,event,time,speed
go,100,100,0.001,8877840.909
rs,100,100,0.001,18274853.801
go,100,500,0.002,23020257.827
rs,100,500,0.002,26699417.953
go,100,1000,0.004,24374786.721
rs,100,1000,0.003,35039770.139
go,100,2000,0.008,23931173.944
rs,100,2000,0.005,36759975.738
go,100,5000,0.022,22887694.660
rs,100,5000,0.013,38730266.929
go,100,10000,0.040,24777498.067
rs,100,10000,0.025,39636925.760
go,1000,100,0.004,24085358.511
rs,1000,100,0.003,37740121.523
go,1000,500,0.021,24108468.823
rs,1000,500,0.013,38295688.671
go,1000,1000,0.040,25250739.847
rs,1000,1000,0.026,38898851.317
go,1000,2000,0.096,20753777.187
rs,1000,2000,0.057,34991645.745
go,1000,5000,0.194,25740661.803
rs,1000,5000,0.133,37626547.486
go,1000,10000,0.431,23196845.415
rs,1000,10000,0.270,37041015.516
go,2000,100,0.008,25329922.237
rs,2000,100,0.005,36793789.208
go,2000,500,0.039,25638921.935
rs,2000,500,0.027,37607699.048
go,2000,1000,0.081,24599368.534
rs,2000,1000,0.067,29760886.160
go,2000,2000,0.156,25654395.528
rs,2000,2000,0.112,35831409.635
go,2000,5000,0.395,25334927.745
rs,2000,5000,0.278,35997819.972
go,2000,10000,0.801,24965771.927
rs,2000,10000,0.531,37682723.526
go,5000,100,0.021,24244305.013
rs,5000,100,0.020,24564471.913
go,5000,500,0.124,20092053.753
rs,5000,500,0.088,28542266.530
go,5000,1000,0.269,18610107.820
rs,5000,1000,0.166,30038202.586
go,5000,2000,0.461,21691889.272
rs,5000,2000,0.309,32387730.362
go,5000,5000,1.156,21625792.477
rs,5000,5000,0.749,33374272.441
go,5000,10000,2.183,22905649.431
rs,5000,10000,1.506,33194015.836
